Accepted Symbol,Synonym Symbol,Scientific Name,Common Name
CAEQ,,Casuarina equisetifolia L.,beach sheoak
CAER,,Calliandra eriophylla Benth.,fairyduster
CAER2,,Cathestecum erectum Vasey & Hack.,false grama
CAEX4,,Carex exserta Mack.,shorthair sedge
CAFI,,Carex filifolia Nutt.,threadleaf sedge
CAFL2,,Capparis flexuosa (L.) L.,falseteeth
CAFL3,,Carex flaccosperma Dewey,thinfruit sedge
CAFR3,,Carex frankii Kunth,Frank's sedge
CAGE2,,Carex geyeri Boott,Geyer's sedge
CAGI,,Caesalpinia gilliesii (Wall. ex Hook.) Wall. ex D. Dietr.,bird-of-paradise shrub
CAGI10,,Carnegiea gigantea (Engelm.) Britton & Rose,saguaro
CAGI10,CAGI7,"Carnegia gigantea (Engelm.) Britton & Rose, orth. var.",
CAGL11,,Casuarina glauca Siebold ex Spreng.,gray sheoak
CAGL5,,Carex glaucescens Elliott,southern waxy sedge
CAGL8,,Carya glabra (Mill.) Sweet,pignut hickory
CAGR2,,Carex gracillima Schwein.,graceful sedge
CAGR3,,Carex granularis Muhl. ex Willd.,limestone meadow sedge
CAGR5,,Carex grayi Carey,Gray's sedge
CAHA2,,Carex halliana L.H. Bailey,Hall's sedge
CAHA9,,Capparis hastata Jacq.,broadleaf caper
CAHE2,,Callitriche hermaphroditica L.,northern water-starwort
CAHE3,,Callitriche heterophylla Pursh,twoheaded water-starwort
